Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Year,Total Attendance,Total_Attendances,Total_Over4hrs,Over4hr_Percentage,Total_Emergency,Emergency_Rate,Waited_12hr_Rate,Log_Total_Attendances,Prediction
MSitAE-JUNE-2021,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,6638,6638,0,0.0,0,0.0,0.0,8.80071662871916,2.0451155646753243
MSitAE-JUNE-2021,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,3188,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,2021.0,3188,3188,53,1.6624843161856961,0,0.0,0.0,8.067462667010057,3.112025685563332
MSitAE-JUNE-2021,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,1354,0,0,0,0,0,15,0,0,0,0,0,0,0,5,152,2021.0,1354,1354,15,1.1078286558345642,5,0.003692762186115214,0.0,7.2115567333138015,0.7610793096612869
MSitAE-JUNE-2021,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,2413,2413,0,0.0,0,0.0,0.0,7.789040401657477,2.972531315538966
MSitAE-JUNE-2021,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,3099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,3099,3099,0,0.0,0,0.0,0.0,8.039157390473237,3.112025685563332
MSitAE-JUNE-2021,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,539,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2021.0,539,539,2,0.3710575139146568,0,0.0,0.0,6.29156913955832,0.13498895168740094
MSitAE-JUNE-2021,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,3809,3809,0,0.0,0,0.0,0.0,8.245384468120747,3.8357405600653816
MSitAE-JUNE-2021,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,1053,1053,0,0.0,0,0.0,0.0,6.960347729101308,0.7610793096612869
MSitAE-JUNE-2021,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1316,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2021.0,1316,1316,6,0.4559270516717325,0,0.0,0.0,7.183111701743281,0.7610793096612869
MSitAE-JUNE-2021,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,1423,1423,0,0.0,0,0.0,0.0,7.261225091971921,0.7851386495792149
MSitAE-JUNE-2021,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,1516,1516,0,0.0,0,0.0,0.0,7.324489979348532,0.7851386495792149
MSitAE-JUNE-2021,RVY,NHS ENGLAND NORTH WEST ,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,7904,0,1772,0,0,0,1794,0,0,0,0,0,459,7,2437,0,0,120,2021.0,9676,9676,1794,18.54071930549814,2437,0.25186027284001655,0.0007234394377842084,9.177507214880942,25.986673413632502
MSitAE-JUNE-2021,RBZ,NHS ENGLAND SOUTH WEST ,NORTHERN DEVON HEALTHCARE NHS TRUST,4891,0,0,462,0,0,892,0,0,31,0,0,162,1,1200,0,0,581,2021.0,4891,4891,892,18.23757922715191,1200,0.24534859946841137,0.00020445716622367614,8.495356496807062,25.896472898980132
MSitAE-JUNE-2021,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3425,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,2021.0,3425,3425,146,4.262773722627737,0,0.0,0.0,8.139148678884066,3.534664969944386
MSitAE-JUNE-2021,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,7355,0,0,645,0,0,1,0,0,0,0,0,0,0,0,0,2021.0,7355,7355,1,0.013596193065941536,0,0.0,0.0,8.903271585724212,2.1546226796037757
