Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Year
MSitAE-AUGUST-2023,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4674,0,0,254,0,0,192,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6501,0,933,85,0,0,2733,0,0,15,0,0,670,418,1951,0,0,616,2023
MSitAE-AUGUST-2023,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11001,1452,5387,396,0,1215,3985,11,63,148,0,7,539,2,4416,20,0,1022,2023
MSitAE-AUGUST-2023,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8008,0,0,430,0,0,3109,0,0,0,0,0,544,0,2469,0,0,491,2023
MSitAE-AUGUST-2023,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5588,0,0,149,0,0,2517,0,0,31,0,0,141,213,1575,0,0,564,2023
MSitAE-AUGUST-2023,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,9803,0,0,0,0,0,2949,0,0,0,0,0,748,190,3151,0,0,792,2023
MSitAE-AUGUST-2023,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,14102,0,0,0,0,0,4186,0,0,0,0,0,975,7,2875,0,0,833,2023
MSitAE-AUGUST-2023,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,9371,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1861,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,868,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4629,0,0,321,0,4154,1824,0,0,81,0,11,136,8,1581,0,0,440,2023
MSitAE-AUGUST-2023,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,6156,0,1838,0,0,0,2351,0,46,0,0,0,784,10,865,0,0,31,2023
MSitAE-AUGUST-2023,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1758,0,0,0,0,0,2,0,0,0,0,0,0,0,5,499,2023
MSitAE-AUGUST-2023,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,5760,0,3441,43,0,39,2613,0,37,12,0,0,865,0,1575,0,0,783,2023
MSitAE-AUGUST-2023,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,9018,0,0,0,0,0,3635,0,0,0,0,0,831,4,2722,0,0,594,2023
MSitAE-AUGUST-2023,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,1153,0,0,67,0,0,4,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,10518,0,0,0,0,0,5075,0,0,0,0,0,982,224,3521,0,0,1715,2023
MSitAE-AUGUST-2023,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,2023
MSitAE-AUGUST-2023,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,7496,0,0,1369,0,0,1,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,Y03571,NHS ENGLAND MIDLANDS ,CORBY URGENT CARE CENTRE,0,0,7523,0,0,545,0,0,28,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,2126,0,0,35,0,0,81,0,0,1,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3791,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,NNF76,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE WILBERFORCE HEALTH CENTRE,0,0,2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2707,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1470,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,4905,0,0,413,0,0,7,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,111,0,0,1419,0,0,0,0,0,1,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,100,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,42,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,2023
MSitAE-AUGUST-2023,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,841,0,0,1491,0,0,0,0,0,0,0,0,0,0,0,0,2023
